epoch,train_acc,val_acc,val_loss
1,0.6979,0.3267,8.2694
2,0.9143,0.3311,6.5961
3,0.9698,0.4844,5.8392
4,0.9883,0.9844,4.8479
5,0.9907,0.9978,4.6992
6,0.989,0.7644,5.1643
7,0.9902,0.9989,4.5374
8,0.9931,0.9744,4.6059
9,0.99,0.8633,4.7321
10,0.9945,0.9989,4.3503
11,0.9926,0.9133,5.046
12,0.994,0.9967,4.2123
13,0.99,1.0,4.0472
14,0.9919,1.0,4.1171
15,0.9936,1.0,4.127
16,0.9929,0.9989,3.862
17,0.9924,1.0,3.8422
18,0.9931,1.0,3.8509
19,0.9943,1.0,3.792
20,0.9943,1.0,3.7999
21,0.9945,1.0,3.7802
22,0.9926,0.9989,3.7289
23,0.9943,0.9944,3.9162
24,0.9945,1.0,3.7274
25,0.9936,1.0,3.6679
26,0.9955,1.0,3.658
27,0.9952,1.0,3.6551
28,0.9952,1.0,3.6407
29,0.9962,1.0,3.6389
30,0.9955,1.0,3.6381
