epoch,train_acc,val_acc,val_loss
1,0.701,0.6089,5.4011
2,0.9745,0.99,3.7413
3,0.9888,0.9867,3.2232
4,0.9955,0.9989,2.8176
5,0.9971,0.9989,2.6106
6,0.9976,1.0,2.4404
7,0.9988,1.0,2.3375
8,0.9993,1.0,2.2691
9,0.9969,1.0,2.24
10,0.9993,1.0,2.2147
11,0.9986,1.0,2.1695
12,0.999,1.0,2.1733
13,0.9988,1.0,2.1497
14,0.9993,1.0,2.1452
15,0.9983,1.0,2.1414
16,0.9988,1.0,2.1435
17,0.9976,1.0,2.1389
18,0.9988,1.0,2.138
19,0.9981,1.0,2.1436
20,0.9988,1.0,2.1353
21,0.9979,1.0,2.1514
22,0.9988,1.0,2.1589
23,0.9995,1.0,2.164
24,0.9998,1.0,2.1658
25,0.9988,1.0,2.177
